week_label,名前,武勲,勢力値
8/10〜,張良子房,1260,10847
8/10〜,俊志,1156,11305
8/10〜,成龍.,1155,11571
8/10〜,✖李信,1124,12301
8/10〜,シベリウス,1091,15335
8/10〜,奈凡,958,12348
8/10〜,漆喰(白),911,10531
8/10〜,テムテム,865,11076
8/10〜,ケムケム,839,12688
8/10〜,海峡のジンベエ,813,15350
8/10〜,風魔,748,9755
8/10〜,河西虎su,731,11175
8/10〜,さすらい⚡,725,5176
8/10〜,浪子｜可倫堡,723,25336
8/10〜,滄浪｜虎賁,582,23946
8/10〜,R-102,545,14632
8/10〜,天陽。,486,13046
8/10〜,鷹布,477,13007
8/10〜,成龍,423,9585
8/10〜,飛五隊,287,11566
8/10〜,浪子｜雪山啤酒,233,20122
8/10〜,真・虎狼,210,9889
8/10〜,宇留千絵,187,14218
8/10〜,零度Niu,136,24178
8/10〜,カモンスキー,117,10763
8/10〜,犬ナオコ,95,12652
8/10〜,浪子｜朝日,88,26394
8/10〜,山本勘助,47,7391
8/10〜,拉麺,9,13361
8/10〜,漆喰(船),8,10333
8/10〜,極悪剣心,0,9432
8/10〜,DOCTOR,0,17215
8/10〜,アキ♪♪,0,15928
8/10〜,浪子｜剣心,0,14922
8/10〜,アルバイトz,0,11405
8/10〜,ピスタチオ,0,11689
8/10〜,武劉祐徳,0,15750
8/10〜,猫の太公望,0,12629
8/10〜,にゃんこ戦争,0,11398
8/10〜,朝倉,0,15395
8/10〜,MOTI,0,13038
8/10〜,団長団,0,10842
8/10〜,名犬チーズ,0,10227
8/10〜,風船蔓,0,11109
8/10〜,元楽園jun,0,5636
8/10〜,からあげクン,0,6786
8/10〜,桂馬,0,5289
8/10〜,浪子｜工具人,0,341
8/17〜,浪子｜雪花,612000,41926
8/17〜,剣権羽 kenkenpa,580000,25843
8/17〜,浪子｜星雲,547000,29567
8/17〜,トラ0713,454000,27869
8/17〜,浪子｜文泰,412000,33210
8/17〜,浪子｜仙主,389000,37025
8/17〜,天順元宝,364000,32206
8/17〜,臨江仙,360000,30401
8/17〜,浪子｜薩普羅,329000,28385
8/17〜,主公5082,312000,26744
8/17〜,村長,310000,30264
8/17〜,ゆなっこ,310000,27399
8/17〜,超人血盟軍,309000,26745
8/17〜,☆去亥☆,301000,31490
8/17〜,FICTA,299000,35469
8/17〜,NAGOYA,293000,27833
8/17〜,じゅんじ,281000,25282
8/17〜,しみ犬,273000,28324
8/17〜,浪子｜はく,271000,26426
8/17〜,seiji,268000,26074
8/17〜,盛三軍団,253000,27136
8/17〜,団長,248000,27894
8/17〜,LEE,231000,26990
8/17〜,ゾウどうぞ,225000,22715
8/17〜,瑕丘鄭重,216000,24538
8/17〜,浪子｜嚕嚕米,213000,18667
8/17〜,極悪の仏,207000,19747
8/17〜,やま,203000,28706
8/17〜,りょうしゅん,202000,20243
8/17〜,†鬼〆宗†,193000,21275
8/17〜,えりす,189000,22772
8/17〜,浪子｜貓侍,185000,24356
8/17〜,真田丸☆,185000,25616
8/17〜,カム犬,185000,25060
8/17〜,まりもX,183000,18297
8/17〜,だしい,183000,24435
8/17〜,ロドリゲス,183000,26004
8/17〜,ヴぇぼ,179000,20504
8/17〜,浪子｜朝日,176000,29734
8/17〜,浪子｜志村,165000,26334
8/17〜,パープル☆,164000,26325
8/17〜,浪子｜教士,162000,33347
8/17〜,クロネコさん,161000,23965
8/17〜,アイーン,160000,29786
8/17〜,ジョーサブ,160000,20066
8/17〜,烏合の集まり,157000,18064
8/17〜,つっg,156000,22275
8/17〜,さら猫,154000,25076
8/17〜,拉麺,154000,18609
8/17〜,ごこっと,154000,28144
8/17〜,浪子｜大黄螺旋丸,151000,26143
8/17〜,モジャ,151000,26759
8/17〜,反社エネわん,149000,20466
8/17〜,零度Niu,149000,25838
8/17〜,はま爺,148000,26812
8/17〜,桃梨,148000,18429
8/17〜,イニミニ,146000,22648
8/17〜,極悪女帝リザ,143000,26817
8/17〜,李★漂,142000,27512
8/17〜,荊州軍,141000,25809
8/17〜,浪子｜11,139000,23854
8/17〜,MOTO,137000,23885
8/17〜,タロマス,135000,22594
8/17〜,ほむれず,134000,22387
8/17〜,さしみ,134000,15175
8/17〜,極悪ボンⒸ,133000,25528
8/17〜,HANABI,128000,27907
8/17〜,ハッチ88,128000,20965
8/17〜,王騎大将軍✦,126000,25016
8/17〜,カバオ卍,125000,21669
8/17〜,Ruu,125000,17863
8/17〜,HIMURO,124000,17263
8/17〜,シュガー,123000,23808
8/17〜,大地の子,122000,25697
8/17〜,ラック。,119000,21159
8/17〜,ココ壱5辛,119000,23438
8/17〜,ボロ雑巾,118000,21850
8/17〜,メイプル,116000,25706
8/17〜,朝倉,112000,21251
8/17〜,海峡のジンベエ,112000,19495
8/17〜,あべゆういち,111000,22431
8/17〜,草津温泉,111000,20148
8/17〜,行雲流水,111000,25436
8/17〜,マサイ,110000,19111
8/17〜,片栗粉u1,108000,23664
8/17〜,潯陽曹仁,105000,28452
8/17〜,虎の太公望,105000,14717
8/17〜,猫ロック,105000,28770
8/17〜,ゆう,105000,22495
8/17〜,うみがめ座@,103000,19505
8/17〜,空kou,103000,24179
8/17〜,浪子｜影子,102000,22305
8/17〜,餅,101000,22592
8/17〜,～凛～,101000,19321
8/17〜,コシヨシ,100000,26590
8/17〜,くんちゃん,99854,28231
8/17〜,アゲハたん★,99611,15588
8/17〜,カナデ,98449,13019
8/17〜,浪子｜無涯,96229,26225
8/17〜,ベニマル,96099,20386
8/17〜,⚡SOU⚡,95284,20215
8/17〜,ぞおき,95045,14021
8/17〜,くまモン,94991,17230
8/17〜,佐々鬼,94212,23830
8/17〜,滄浪｜虎賁,93079,25431
8/17〜,アキ♪♪,88896,18252
8/17〜,MOTI,87879,15225
8/17〜,くに,86892,20365
8/17〜,トムトム,85212,17921
8/17〜,ギリヤーク人,84386,24887
8/17〜,ナムナム,82316,19053
8/17〜,✖李信,81105,15297
8/17〜,浪子｜大猩猩,77999,25992
8/17〜,まるぞう,77817,26231
8/17〜,鷹布,76898,16810
8/17〜,小竜,76826,25163
8/17〜,成龍.,74778,13732
8/17〜,仁義なきTUBE,74022,22753
8/17〜,ケムケム,72326,18412
8/17〜,外様,70876,19812
8/17〜,ワ-ドラ,70562,20858
8/17〜,よる★かぜ,69981,13451
8/17〜,ロストフ家,69016,25231
8/17〜,BARI,68407,24630
8/17〜,浪子｜氹仔,67500,26017
8/17〜,ボラギノール,65871,11354
8/17〜,RB20,65606,16389
8/17〜,浪子｜可倫堡,64983,26770
8/17〜,成龍,63466,11405
8/17〜,nim0su,63252,16371
8/17〜,劉邦軍,62879,21010
8/17〜,たけとも33,59444,15718
8/17〜,さぶろー,59270,16245
8/17〜,甘興覇,58831,16239
8/17〜,ヤムヤム,58282,18700
8/17〜,河西虎su,57646,13575
8/17〜,魏無羨,55719,24617
8/17〜,浪子｜潮男,55448,17660
8/17〜,漆喰(白),54316,13726
8/17〜,浪子｜雪山啤酒,54122,22768
8/17〜,盟主の犬隊長,53491,17780
8/17〜,浪子｜剣心,52998,24689
8/17〜,han,51988,23688
8/17〜,SHUNJI,51915,17143
8/17〜,からあげクン,51880,10110
8/17〜,ジョージ,51328,13857
8/17〜,陽龍,50874,24132
8/17〜,テムテム,47394,16458
8/17〜,八宝菜,47100,12868
8/17〜,R-102,47094,19037
8/17〜,にゃんこ軍,46308,17806
8/17〜,便利屋,45292,14293
8/17〜,宇留千絵,44764,18470
8/17〜,lovin.,44693,19287
8/17〜,すじまーん,44026,13463
8/17〜,山本勘助,39877,15756
8/17〜,そんそん,39820,15642
8/17〜,猫の太公望,39524,22084
8/17〜,i.,38765,17057
8/17〜,ワンパンダ,36787,14252
8/17〜,敦犬,36344,15786
8/17〜,MARSAN,35977,20919
8/17〜,☀李信☀,34969,18432
8/17〜,天陽。,34811,14467
8/17〜,風魔,34257,12005
8/17〜,飛五隊,34255,15306
8/17〜,奈凡,33968,19798
8/17〜,アルバイトz,33854,15591
8/17〜,かばごん,29737,14315
8/17〜,たけ33サブ,28910,18818
8/17〜,漆喰(船),28728,13096
8/17〜,名犬チーズ,25320,14088
8/17〜,義孝01,25009,15386
8/17〜,極悪剣心,24502,10604
8/17〜,ピスタチオ,23790,12590
8/17〜,犬ナオコ,23681,14805
8/17〜,パンダマン,23003,14160
8/17〜,俊志,22108,18575
8/17〜,DOCTOR,21959,18882
8/17〜,譙國征東軍,21278,26235
8/17〜,風船蔓,20970,18462
8/17〜,シベリウス,20437,22431
8/17〜,にゃんこ戦争,20153,12759
8/17〜,パパパ,19642,15847
8/17〜,さすらい♪,19591,25388
8/17〜,カモンスキー,17730,16414
8/17〜,団長団,17669,21021
8/17〜,演員,16514,17496
8/17〜,武劉祐徳,14329,20228
8/17〜,廉,12385,16778
8/17〜,まーさんZ,12291,15220
8/17〜,元楽園jun,9948,9521
8/17〜,朱和,8448,14594
8/17〜,桂馬,6720,7192
8/17〜,張良子房,6228,15668
8/17〜,真・虎狼,6098,12775
8/17〜,さすらい⚡,857,6600
8/17〜,5,0,12928
8/24〜,浪子｜雪花,1310000,52504
8/24〜,臨江仙,1150000,36487
8/24〜,seiji,1130000,30051
8/24〜,剣権羽 kenkenpa,859000,31677
8/24〜,浪子｜星雲,829000,33585
8/24〜,浪子｜仙主,771000,41760
8/24〜,天順元宝,733000,35631
8/24〜,団長,699000,38342
8/24〜,浪子｜文泰,679000,40336
8/24〜,じゅんじ,634000,26309
8/24〜,FICTA,629000,38638
8/24〜,浪子｜薩普羅,564000,30022
8/24〜,浪子｜はく,557000,33480
8/24〜,盛三軍団,552000,29655
8/24〜,主公5082,536000,32190
8/24〜,ラック。,500000,27549
8/24〜,ゆなっこ,479000,31941
8/24〜,村長,474000,36760
8/24〜,だしい,434000,33952
